"VesselId","nb_vessels","Port","Gear","RelativeEffort","VE_LEN","Tonnage","name_gis_file_for_fishing_effort_per_polygon","name_gis_layer_field","is_gis_layer_field_relative_numbers","xfold_gis_layer_field","dcf_gear","SAB_kg_h","SJU_kg_h","SJZ_kg_h","MIP_kg_h","EOJ_kg_h","SGO_kg_h","OTH_kg_h","mean_kW","fishing.speed.knots","cruise.speed.knots","fuel.cons.h","fuel.tank.liter","ave.storage.fish.kg","nb_pings_per_trip","Gamma_shape","Gamma_scale","trip.duration.h","multip.fuel.steaming","multip.fuel.fishing","multip.fuel.ret.port.fish","multip.fuel.inactive","weekEndStartDay","WeekEndEndDay","WorkHoursStart","WorkHoursEnd","vessel_range_km","kW"
"USA0001",1,"Eureka","non_dts_other_1",0.744076486074546,11.038,14.273,"fe_code_USA0001_non_dts_other","fe",FALSE,1,"non_dts_other_1",NA,NA,NA,NA,NA,NA,40.075,107.069,1.949,6.333,30.257,1375.911,484.29,1,0.4485,336.7618,38.444,0.8,1,1.1,0.1,1,7,1,23,462.372,NA
"USA0001",1,"Eureka","dts_trap_2",0.21689529351993,11.038,14.273,"fe_code_USA0001_dts_trap","fe",FALSE,1,"dts_trap_2",59.439,NA,NA,NA,NA,NA,3.322,107.069,1.949,6.333,30.257,1375.911,484.29,1,0.4485,336.7618,38.444,0.8,1,1.1,0.1,1,7,1,23,462.372,NA
"USA0001",1,"Eureka","dts_longline_1",0.039028220405524,11.038,14.273,"fe_code_USA0001_dts_longline","fe",FALSE,1,"dts_longline_1",64.483,NA,NA,NA,NA,NA,3.169,107.069,1.949,6.333,30.257,1375.911,484.29,1,0.4485,336.7618,38.444,0.8,1,1.1,0.1,1,7,1,23,462.372,NA
"USA0002",1,"Fort_Bragg","dts_trap_5",0.684133836038104,8.861,6.973,"fe_code_USA0002_dts_trap","fe",FALSE,1,"dts_trap_5",33.559,NA,NA,NA,NA,NA,2.513,192.385,0.893,8.372,51.533,60.804,112.654,1,0.4485,336.7618,5.576,0.8,1,1.1,0.1,1,7,1,23,52.331,NA
"USA0002",1,"Fort_Bragg","non_dts_other_3",0.308216308762727,8.861,6.973,"fe_code_USA0002_non_dts_other","fe",FALSE,1,"non_dts_other_3",7.589,NA,NA,NA,NA,NA,3.871,192.385,0.893,8.372,51.533,60.804,112.654,1,0.4485,336.7618,5.576,0.8,1,1.1,0.1,1,7,1,23,52.331,NA
"USA0002",1,"Fort_Bragg","dts_longline_1",0.00764985519916944,8.861,6.973,"fe_code_USA0002_dts_longline","fe",FALSE,1,"dts_longline_1",97.133,NA,NA,NA,NA,NA,NA,192.385,0.893,8.372,51.533,60.804,112.654,1,0.4485,336.7618,5.576,0.8,1,1.1,0.1,1,7,1,23,52.331,NA
"USA0003",1,"Fort_Bragg","dts_trap_4",0.986910994764398,11.309,15.653,"fe_code_USA0003_dts_trap","fe",FALSE,1,"dts_trap_4",74.819,NA,NA,NA,NA,NA,1.96,164.95,1.541,6.357,42.098,1377.679,405.984,1,0.4485,336.7618,5.204,0.8,1,1.1,0.1,1,7,1,23,35.972,NA
"USA0003",1,"Fort_Bragg","dts_longline_1",0.0130890052356021,11.309,15.653,"fe_code_USA0003_dts_longline","fe",FALSE,1,"dts_longline_1",138.115,NA,NA,NA,NA,NA,NA,164.95,1.541,6.357,42.098,1377.679,405.984,1,0.4485,336.7618,5.204,0.8,1,1.1,0.1,1,7,1,23,35.972,NA
"USA0004",1,"Eureka","dts_longline_4",0.282760702051439,11.948,14.607,"fe_code_USA0004_dts_longline","fe",FALSE,1,"dts_longline_4",82.058,2.455,0.259,NA,NA,0.805,8.815,166.341,2.664,7.584,40.559,2019.005,754.538,1,0.4485,336.7618,13.859,0.8,1,1.1,0.1,1,7,1,23,249.216,NA
"USA0004",1,"Eureka","non_dts_other_5",0.416208091307448,11.948,14.607,"fe_code_USA0004_non_dts_other","fe",FALSE,1,"non_dts_other_5",69.21,2.015,NA,NA,NA,NA,46.998,166.341,2.664,7.584,40.559,2019.005,754.538,1,0.4485,336.7618,13.859,0.8,1,1.1,0.1,1,7,1,23,249.216,NA
"USA0004",1,"San_Francisco","non_dts_other_5",0.113240677594087,11.948,14.607,"fe_code_USA0004_non_dts_other","fe",FALSE,1,"non_dts_other_5",66.868,2.009,NA,NA,NA,NA,46.123,166.341,2.664,7.584,40.559,2019.005,754.538,1,0.4485,336.7618,13.859,0.8,1,1.1,0.1,1,7,1,23,249.216,NA
"USA0004",1,"Bodega_Bay","non_dts_other_5",0.064631689517046,11.948,14.607,"fe_code_USA0004_non_dts_other","fe",FALSE,1,"non_dts_other_5",71.93,2.051,NA,NA,NA,NA,45.252,166.341,2.664,7.584,40.559,2019.005,754.538,1,0.4485,336.7618,13.859,0.8,1,1.1,0.1,1,7,1,23,249.216,NA
"USA0004",1,"Fort_Bragg","non_dts_other_5",0.12315883952998,11.948,14.607,"fe_code_USA0004_non_dts_other","fe",FALSE,1,"non_dts_other_5",66.9,2.047,NA,NA,NA,NA,45.666,166.341,2.664,7.584,40.559,2019.005,754.538,1,0.4485,336.7618,13.859,0.8,1,1.1,0.1,1,7,1,23,249.216,NA
"USA0005",1,"Fort_Bragg","non_dts_other_2",0.215004574565416,10.653,16.843,"fe_code_USA0005_non_dts_other","fe",FALSE,1,"non_dts_other_2",NA,NA,NA,NA,NA,NA,2.879,187.011,2.416,5.299,47.614,732.464,321.702,1,0.4485,336.7618,28.458,0.8,1,1.1,0.1,1,7,1,23,209.755,NA
"USA0005",1,"Fort_Bragg","dts_trap_3",0.524245196706313,10.653,16.843,"fe_code_USA0005_dts_trap","fe",FALSE,1,"dts_trap_3",11.653,NA,NA,NA,NA,NA,NA,187.011,2.416,5.299,47.614,732.464,321.702,1,0.4485,336.7618,28.458,0.8,1,1.1,0.1,1,7,1,23,209.755,NA
"USA0005",1,"Fort_Bragg","dts_longline_1",0.00640439158279963,10.653,16.843,"fe_code_USA0005_dts_longline","fe",FALSE,1,"dts_longline_1",17.006,NA,NA,NA,NA,NA,NA,187.011,2.416,5.299,47.614,732.464,321.702,1,0.4485,336.7618,28.458,0.8,1,1.1,0.1,1,7,1,23,209.755,NA
"USA0005",1,"Moss_Landing","non_dts_other_2",0.0631290027447392,10.653,16.843,"fe_code_USA0005_non_dts_other","fe",FALSE,1,"non_dts_other_2",NA,NA,NA,NA,NA,NA,2.831,187.011,2.416,5.299,47.614,732.464,321.702,1,0.4485,336.7618,28.458,0.8,1,1.1,0.1,1,7,1,23,209.755,NA
"USA0005",1,"Bodega_Bay","non_dts_other_2",0.191216834400732,10.653,16.843,"fe_code_USA0005_non_dts_other","fe",FALSE,1,"non_dts_other_2",NA,NA,NA,NA,NA,NA,2.966,187.011,2.416,5.299,47.614,732.464,321.702,1,0.4485,336.7618,28.458,0.8,1,1.1,0.1,1,7,1,23,209.755,NA
"USA0006",1,"Oceanside","dts_longline_5",0.970646895927464,9.952,12.714,"fe_code_USA0006_dts_longline","fe",FALSE,1,"dts_longline_5",23.56,5.989,0.876,0.953,NA,NA,4.458,182.73,1.46,10.569,50.74,437.809,425.526,1,0.4485,336.7618,16.772,0.8,1,1.1,0.1,1,7,1,23,327.856,NA
"USA0006",1,"Oceanside","non_dts_other_2",0.0293531040725357,9.952,12.714,"fe_code_USA0006_non_dts_other","fe",FALSE,1,"non_dts_other_2",26.508,2.353,0.476,NA,NA,NA,6.571,182.73,1.46,10.569,50.74,437.809,425.526,1,0.4485,336.7618,16.772,0.8,1,1.1,0.1,1,7,1,23,327.856,NA
"USA0007",1,"Newport_Beach","dts_longline_3",0.795652889840277,10.069,10.55,"fe_code_USA0007_dts_longline","fe",FALSE,1,"dts_longline_3",23.618,23.622,1.526,1.874,NA,NA,6.004,199.79,1.452,9.887,47.67,135.981,250.932,1,0.4485,336.7618,6.574,0.8,1,1.1,0.1,1,7,1,23,67.746,NA
"USA0007",1,"Eureka","dts_longline_3",0.184587518524617,10.069,10.55,"fe_code_USA0007_dts_longline","fe",FALSE,1,"dts_longline_3",23.194,24.451,1.598,1.883,NA,NA,6.056,199.79,1.452,9.887,47.67,135.981,250.932,1,0.4485,336.7618,6.574,0.8,1,1.1,0.1,1,7,1,23,67.746,NA
"USA0007",1,"Eureka","non_dts_other_1",0.0197595916351062,10.069,10.55,"fe_code_USA0007_non_dts_other","fe",FALSE,1,"non_dts_other_1",13.326,NA,NA,NA,NA,NA,18.77,199.79,1.452,9.887,47.67,135.981,250.932,1,0.4485,336.7618,6.574,0.8,1,1.1,0.1,1,7,1,23,67.746,NA
"USA0008",1,"Newport_Beach","dts_longline_3",0.979310344827586,8.316,6.245,"fe_code_USA0008_dts_longline","fe",FALSE,1,"dts_longline_3",8.764,24.55,2.107,NA,NA,NA,0.287,185.567,1.349,11.154,48.403,58.498,214.268,1,0.4485,336.7618,6.996,0.8,1,1.1,0.1,1,7,1,23,79.122,NA
